,elections_year,region,commission_name,voters_number,ballots_number_received,issued_ballots_number_early,issued_ballots_number_voting_day_incide,issued_ballots_number_voting_day_outside,ballots_number_extinguished,ballots_number_portable_boxes,ballots_number_stationary_boxes,ballots_number_invalid,ballots_number_valid,ballots_number_absentee_received,ballots_number_absentee_issued_at_polling_station,voters_number_voted_on_absentee_ballots,number_absentee_ballots_unused,ballots_number_absentee_issued_to_tik_voters,number_absentee_ballots_lost,ballots_number_lost,ballots_number_not_counted,zhirinovsky_vladimir_volfovich_number,zhirinovsky_vladimir_volfovich_percent,zyuganov_gennady_andreevich_number,zyuganov_gennady_andreevich_percent,mironov_sergey_mikhailovich_number,mironov_sergey_mikhailovich_percent,prokhorov_mikhail_dmitrievich_number,prokhorov_mikhail_dmitrievich_percent,putin_vladimir_vladimirovich_number,putin_vladimir_vladimirovich_percent,link
45,2012-03-04,Челябинская область,"Челябинск, Тракторозаводская",128612,117780,0,72948,3607,41225,3607,72891,990,75508,3408,3052,2666,356,279,0,0,0,4794,6.27,11652,15.23,4720,6.17,7810,10.21,46532,60.83,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100031793882&vrn=100100031793505&prver=0&pronetvd=null&region=74&sub_region=74&type=0&report_mode=null
46,2012-03-04,Челябинская область,"Челябинск, Центральная",77344,66100,0,48678,2592,14829,2591,48668,1191,50068,1882,1740,3635,141,108,1,1,0,2578,5.03,7992,15.59,3069,5.99,8472,16.53,27957,54.54,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100031793882&vrn=100100031793505&prver=0&pronetvd=null&region=74&sub_region=74&type=0&report_mode=null
47,2012-03-04,Челябинская область,Чесменская,15453,15550,0,9151,780,5619,780,9150,159,9771,288,284,95,4,12,0,0,0,587,5.91,1605,16.16,365,3.68,385,3.88,6829,68.77,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100031793882&vrn=100100031793505&prver=0&pronetvd=null&region=74&sub_region=74&type=0&report_mode=null
48,2012-03-04,Челябинская область,Южноуральская городская,30556,27350,0,18746,893,7711,893,18736,186,19443,308,276,377,32,121,0,0,0,1223,6.23,3311,16.87,1171,5.97,1114,5.68,12624,64.31,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100031793882&vrn=100100031793505&prver=0&pronetvd=null&region=74&sub_region=74&type=0&report_mode=null
49,2012-03-04,Челябинская область,Троицкая,22966,20700,0,13256,2713,4731,2713,13250,183,15780,1192,1192,522,0,8,0,0,0,1041,6.52,2252,14.11,457,2.86,529,3.31,11501,72.05,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100031793882&vrn=100100031793505&prver=0&pronetvd=null&region=74&sub_region=74&type=0&report_mode=null
50,2012-03-04,Челябинская область,Чебаркульская,22981,20720,0,11779,1055,7886,1055,11778,168,12665,371,346,266,25,26,0,0,0,855,6.66,2034,15.85,399,3.11,560,4.36,8817,68.71,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100031793882&vrn=100100031793505&prver=0&pronetvd=null&region=74&sub_region=74&type=0&report_mode=null
51,2012-03-04,Республика Дагестан,Агульская,5777,5650,0,5365,49,236,49,5365,53,5361,20,0,0,20,0,0,0,0,1,0.02,212,3.92,37,0.68,42,0.78,5069,93.63,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100031793854&vrn=100100031793505&prver=0&pronetvd=null&region=5&sub_region=5&type=0&report_mode=null
52,2012-03-04,Республика Дагестан,Акушинская,28357,27450,0,25847,0,1603,0,25847,16,25831,53,0,0,53,0,0,0,0,0,0.0,1047,4.05,131,0.51,81,0.31,24572,95.07,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100031793854&vrn=100100031793505&prver=0&pronetvd=null&region=5&sub_region=5&type=0&report_mode=null
53,2012-03-04,Республика Дагестан,Ахвахская,12586,12050,0,9129,619,2301,619,9129,58,9690,39,9,5,30,0,0,1,0,19,0.19,935,9.59,30,0.31,96,0.98,8610,88.33,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100031793854&vrn=100100031793505&prver=0&pronetvd=null&region=5&sub_region=5&type=0&report_mode=null
54,2012-03-04,Республика Дагестан,Ахтынская,18532,17800,0,16384,651,765,651,16384,124,16911,32,0,0,32,1,0,0,0,21,0.12,1125,6.6,35,0.21,48,0.28,15682,92.06,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100031793854&vrn=100100031793505&prver=0&pronetvd=null&region=5&sub_region=5&type=0&report_mode=null
55,2012-03-04,Республика Дагестан,Бабаюртовская,26482,25850,0,23993,1265,592,1265,23993,163,25095,24,2,2,22,0,0,0,0,32,0.13,912,3.61,41,0.16,90,0.36,24020,95.1,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100031793854&vrn=100100031793505&prver=0&pronetvd=null&region=5&sub_region=5&type=0&report_mode=null
56,2012-03-04,Республика Дагестан,Бежтинская,5382,5150,0,4658,85,407,85,4658,0,4743,22,0,0,22,0,0,0,0,10,0.21,141,2.97,67,1.41,0,0.0,4525,95.4,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100031793854&vrn=100100031793505&prver=0&pronetvd=null&region=5&sub_region=5&type=0&report_mode=null
57,2012-03-04,Республика Дагестан,Ботлихская,25277,24896,0,19600,4088,1208,4088,19600,76,23612,59,15,3,44,0,0,0,0,20,0.08,730,3.08,61,0.26,111,0.47,22690,95.79,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100031793854&vrn=100100031793505&prver=0&pronetvd=null&region=5&sub_region=5&type=0&report_mode=null
58,2012-03-04,Республика Дагестан,Буйнакская,44712,43450,0,40135,1613,1702,1613,40135,28,41720,34,0,0,34,0,0,0,0,0,0.0,1967,4.71,5,0.01,11,0.03,39737,95.18,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100031793854&vrn=100100031793505&prver=0&pronetvd=null&region=5&sub_region=5&type=0&report_mode=null
59,2012-03-04,Республика Дагестан,Буйнакская городская,39792,39319,0,33173,553,5593,553,33156,102,33607,222,154,6,68,8,0,0,0,23,0.07,2890,8.57,224,0.66,336,0.99,30134,89.39,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100031793854&vrn=100100031793505&prver=0&pronetvd=null&region=5&sub_region=5&type=0&report_mode=null
60,2012-03-04,Республика Дагестан,Гергебильская,12207,11900,0,9598,1722,580,1722,9598,91,11229,31,3,0,28,0,0,0,0,11,0.1,339,2.99,21,0.19,64,0.57,10794,95.35,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100031793854&vrn=100100031793505&prver=0&pronetvd=null&region=5&sub_region=5&type=0&report_mode=null
61,2012-03-04,Республика Дагестан,Гумбетовская,10761,10500,0,8869,1465,166,1465,8869,3,10331,43,13,0,30,0,0,0,0,2,0.02,322,3.12,75,0.73,39,0.38,9893,95.73,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100031793854&vrn=100100031793505&prver=0&pronetvd=null&region=5&sub_region=5&type=0&report_mode=null
62,2012-03-04,Республика Дагестан,Гунибская,14974,14980,0,7830,3788,3362,3787,7830,86,11531,43,2,0,41,0,0,1,1,66,0.57,1697,14.61,59,0.51,211,1.82,9498,81.76,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100031793854&vrn=100100031793505&prver=0&pronetvd=null&region=5&sub_region=5&type=0&report_mode=null
63,2012-03-04,Республика Дагестан,Дагогнинская городская,20514,20000,0,19730,0,270,0,19730,55,19675,12,0,0,12,0,0,0,0,16,0.08,604,3.06,13,0.07,22,0.11,19020,96.4,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100031793854&vrn=100100031793505&prver=0&pronetvd=null&region=5&sub_region=5&type=0&report_mode=null
64,2012-03-04,Республика Дагестан,Дахадаевская,25127,24410,0,22059,1765,586,1765,22059,110,23714,56,4,0,52,0,0,0,0,12,0.05,340,1.43,24,0.1,104,0.44,23234,97.52,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100031793854&vrn=100100031793505&prver=0&pronetvd=null&region=5&sub_region=5&type=0&report_mode=null
65,2012-03-04,Республика Дагестан,Дербентская,57972,56050,0,53309,664,2077,664,53309,0,53973,43,5,0,38,0,0,0,0,3,0.01,2591,4.8,6,0.01,45,0.08,51328,95.1,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100031793854&vrn=100100031793505&prver=0&pronetvd=null&region=5&sub_region=5&type=0&report_mode=null
66,2012-03-04,Республика Дагестан,Дербентская городская,66403,64200,0,61516,706,1978,705,61516,68,62153,77,25,7,52,0,0,0,0,27,0.04,2030,3.26,94,0.15,223,0.36,59779,96.08,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100031793854&vrn=100100031793505&prver=0&pronetvd=null&region=5&sub_region=5&type=0&report_mode=null
67,2012-03-04,Республика Дагестан,Докузпаринская,9415,9150,0,8722,156,272,156,8722,17,8861,10,0,0,10,0,0,0,0,2,0.02,201,2.26,31,0.35,8,0.09,8619,97.08,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100031793854&vrn=100100031793505&prver=0&pronetvd=null&region=5&sub_region=5&type=0&report_mode=null
68,2012-03-04,Республика Дагестан,Избербашская городская,26704,26050,0,23829,302,1919,302,23829,106,24025,55,12,3,43,1,0,0,0,56,0.23,1349,5.59,61,0.25,133,0.55,22426,92.93,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100031793854&vrn=100100031793505&prver=0&pronetvd=null&region=5&sub_region=5&type=0&report_mode=null
