,vote_date,region,commission_name,voters_number,issued_ballots_number,turned_ballots_number,bad_ballots_number,for_votes_number,for_votes_percent,against_votes_number,against_votes_percent,link
10,"
						Дата голосования:  01.07.2020",Новгородская область,Новгородcкая городская,175494,73241,73208,732,47967,"65,52%",24509,"33,48%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598061&vrn=100100163596966&prver=0&pronetvd=null&region=53&sub_region=53&type=0&report_mode=null
11,"
						Дата голосования:  01.07.2020",Новгородская область,Новгородская,47289,24329,24326,262,17835,"73,32%",6229,"25,61%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598061&vrn=100100163596966&prver=0&pronetvd=null&region=53&sub_region=53&type=0&report_mode=null
12,"
						Дата голосования:  01.07.2020",Новгородская область,Окуловская,20543,9157,9157,94,6265,"68,42%",2798,"30,56%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598061&vrn=100100163596966&prver=0&pronetvd=null&region=53&sub_region=53&type=0&report_mode=null
13,"
						Дата голосования:  01.07.2020",Новгородская область,Парфинская,9781,6986,6986,40,5753,"82,35%",1193,"17,08%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598061&vrn=100100163596966&prver=0&pronetvd=null&region=53&sub_region=53&type=0&report_mode=null
14,"
						Дата голосования:  01.07.2020",Новгородская область,Пестовская,16257,8204,8203,83,5643,"68,79%",2477,"30,2%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598061&vrn=100100163596966&prver=0&pronetvd=null&region=53&sub_region=53&type=0&report_mode=null
15,"
						Дата голосования:  01.07.2020",Новгородская область,Поддорская,3168,2045,2045,16,1725,"84,35%",304,"14,87%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598061&vrn=100100163596966&prver=0&pronetvd=null&region=53&sub_region=53&type=0&report_mode=null
16,"
						Дата голосования:  01.07.2020",Новгородская область,Солецкая,10658,6692,6692,98,5174,"77,32%",1420,"21,22%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598061&vrn=100100163596966&prver=0&pronetvd=null&region=53&sub_region=53&type=0&report_mode=null
17,"
						Дата голосования:  01.07.2020",Новгородская область,Старорусская,34938,22119,22119,193,17587,"79,51%",4339,"19,62%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598061&vrn=100100163596966&prver=0&pronetvd=null&region=53&sub_region=53&type=0&report_mode=null
18,"
						Дата голосования:  01.07.2020",Новгородская область,Хвойнинская,10978,6385,6381,119,4633,"72,61%",1629,"25,53%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598061&vrn=100100163596966&prver=0&pronetvd=null&region=53&sub_region=53&type=0&report_mode=null
19,"
						Дата голосования:  01.07.2020",Новгородская область,Холмская,4445,2860,2860,16,2215,"77,45%",629,"21,99%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598061&vrn=100100163596966&prver=0&pronetvd=null&region=53&sub_region=53&type=0&report_mode=null
20,"
						Дата голосования:  01.07.2020",Новгородская область,Чудовская,17295,7873,7873,111,5515,"70,05%",2247,"28,54%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598061&vrn=100100163596966&prver=0&pronetvd=null&region=53&sub_region=53&type=0&report_mode=null
21,"
						Дата голосования:  01.07.2020",Новгородская область,Шимская,8610,4493,4492,54,3366,"74,93%",1072,"23,86%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598061&vrn=100100163596966&prver=0&pronetvd=null&region=53&sub_region=53&type=0&report_mode=null
22,"
						Дата голосования:  01.07.2020",город Севастополь,Балаклавская,42987,25861,25855,189,22293,"86,22%",3373,"13,05%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598094&vrn=100100163596966&prver=0&pronetvd=null&region=94&sub_region=94&type=0&report_mode=null
23,"
						Дата голосования:  01.07.2020",город Севастополь,Гагаринская,108981,64790,64725,397,54407,"84,06%",9921,"15,33%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598094&vrn=100100163596966&prver=0&pronetvd=null&region=94&sub_region=94&type=0&report_mode=null
24,"
						Дата голосования:  01.07.2020",город Севастополь,Ленинская,87562,68322,68313,574,58480,"85,61%",9259,"13,55%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598094&vrn=100100163596966&prver=0&pronetvd=null&region=94&sub_region=94&type=0&report_mode=null
25,"
						Дата голосования:  01.07.2020",город Севастополь,Нахимовская,86990,57610,57601,382,48116,"83,53%",9103,"15,8%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598094&vrn=100100163596966&prver=0&pronetvd=null&region=94&sub_region=94&type=0&report_mode=null
26,"
						Дата голосования:  01.07.2020",Кемеровская область - Кузбасс,Анжеро-Судженская городская,58896,52036,51976,130,44586,"85,78%",7260,"13,97%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598050&vrn=100100163596966&prver=0&pronetvd=null&region=42&sub_region=42&type=0&report_mode=null
27,"
						Дата голосования:  01.07.2020",Кемеровская область - Кузбасс,Беловская,21225,19205,19205,73,16505,"85,94%",2627,"13,68%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598050&vrn=100100163596966&prver=0&pronetvd=null&region=42&sub_region=42&type=0&report_mode=null
28,"
						Дата голосования:  01.07.2020",Кемеровская область - Кузбасс,Беловская городская,98178,91185,91061,391,81771,"89,8%",8899,"9,77%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598050&vrn=100100163596966&prver=0&pronetvd=null&region=42&sub_region=42&type=0&report_mode=null
29,"
						Дата голосования:  01.07.2020",Кемеровская область - Кузбасс,Березовская городская,34310,28772,28771,161,25329,"88,04%",3281,"11,4%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598050&vrn=100100163596966&prver=0&pronetvd=null&region=42&sub_region=42&type=0&report_mode=null
30,"
						Дата голосования:  01.07.2020",Кемеровская область - Кузбасс,Гурьевская,31569,29029,29029,123,24327,"83,8%",4579,"15,77%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598050&vrn=100100163596966&prver=0&pronetvd=null&region=42&sub_region=42&type=0&report_mode=null
31,"
						Дата голосования:  01.07.2020",Кемеровская область - Кузбасс,Ижморская,9861,8972,8970,14,8133,"90,67%",823,"9,18%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598050&vrn=100100163596966&prver=0&pronetvd=null&region=42&sub_region=42&type=0&report_mode=null
32,"
						Дата голосования:  01.07.2020",Кемеровская область - Кузбасс,Калтанская городская,23359,20397,20345,277,17442,"85,73%",2626,"12,91%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598050&vrn=100100163596966&prver=0&pronetvd=null&region=42&sub_region=42&type=0&report_mode=null
33,"
						Дата голосования:  01.07.2020",Кемеровская область - Кузбасс,"Кемерово, Заводская",114734,101532,101213,774,84669,"83,65%",15770,"15,58%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598050&vrn=100100163596966&prver=0&pronetvd=null&region=42&sub_region=42&type=0&report_mode=null
34,"
						Дата голосования:  01.07.2020",Кемеровская область - Кузбасс,"Кемерово, Кедровская",15847,13926,13926,72,11951,"85,82%",1903,"13,67%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598050&vrn=100100163596966&prver=0&pronetvd=null&region=42&sub_region=42&type=0&report_mode=null
35,"
						Дата голосования:  01.07.2020",Кемеровская область - Кузбасс,"Кемерово, Кировская",40797,37403,37386,94,31454,"84,13%",5838,"15,62%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598050&vrn=100100163596966&prver=0&pronetvd=null&region=42&sub_region=42&type=0&report_mode=null
36,"
						Дата голосования:  01.07.2020",Кемеровская область - Кузбасс,"Кемерово, Ленинская",91402,80053,79964,119,67536,"84,46%",12309,"15,39%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598050&vrn=100100163596966&prver=0&pronetvd=null&region=42&sub_region=42&type=0&report_mode=null
37,"
						Дата голосования:  01.07.2020",Кемеровская область - Кузбасс,"Кемерово, Рудничная",61618,53817,53743,195,44574,"82,94%",8974,"16,7%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598050&vrn=100100163596966&prver=0&pronetvd=null&region=42&sub_region=42&type=0&report_mode=null
38,"
						Дата голосования:  01.07.2020",Кемеровская область - Кузбасс,"Кемерово, Центральная",73248,62684,62518,376,52146,"83,41%",9996,"15,99%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598050&vrn=100100163596966&prver=0&pronetvd=null&region=42&sub_region=42&type=0&report_mode=null
39,"
						Дата голосования:  01.07.2020",Кемеровская область - Кузбасс,Кемеровская,34688,30768,30686,408,26154,"85,23%",4124,"13,44%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598050&vrn=100100163596966&prver=0&pronetvd=null&region=42&sub_region=42&type=0&report_mode=null
40,"
						Дата голосования:  01.07.2020",Кемеровская область - Кузбасс,Киселевская городская,72241,64642,64641,45,61465,"95,09%",3131,"4,84%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598050&vrn=100100163596966&prver=0&pronetvd=null&region=42&sub_region=42&type=0&report_mode=null
41,"
						Дата голосования:  01.07.2020",Кемеровская область - Кузбасс,Крапивинская,17330,15331,15331,47,13796,"89,99%",1488,"9,71%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598050&vrn=100100163596966&prver=0&pronetvd=null&region=42&sub_region=42&type=0&report_mode=null
42,"
						Дата голосования:  01.07.2020",Кемеровская область - Кузбасс,Краснобродская городская,10457,9153,9153,29,7885,"86,15%",1239,"13,54%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598050&vrn=100100163596966&prver=0&pronetvd=null&region=42&sub_region=42&type=0&report_mode=null
43,"
						Дата голосования:  01.07.2020",Кемеровская область - Кузбасс,Ленинск-Кузнецкая,17709,15958,15957,43,14620,"91,62%",1294,"8,11%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598050&vrn=100100163596966&prver=0&pronetvd=null&region=42&sub_region=42&type=0&report_mode=null
44,"
						Дата голосования:  01.07.2020",Кемеровская область - Кузбасс,Ленинск-Кузнецкая городская,75420,64912,64897,2750,58512,"90,16%",3635,"5,6%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598050&vrn=100100163596966&prver=0&pronetvd=null&region=42&sub_region=42&type=0&report_mode=null
45,"
						Дата голосования:  01.07.2020",Кемеровская область - Кузбасс,Мариинская ,37275,33483,33480,286,29400,"87,81%",3794,"11,33%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598050&vrn=100100163596966&prver=0&pronetvd=null&region=42&sub_region=42&type=0&report_mode=null
46,"
						Дата голосования:  01.07.2020",Кемеровская область - Кузбасс,Междуреченская городская,74302,65557,65508,171,59914,"91,46%",5423,"8,28%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598050&vrn=100100163596966&prver=0&pronetvd=null&region=42&sub_region=42&type=0&report_mode=null
47,"
						Дата голосования:  01.07.2020",Кемеровская область - Кузбасс,Мысковская городская,33575,30664,30653,243,27972,"91,25%",2438,"7,95%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598050&vrn=100100163596966&prver=0&pronetvd=null&region=42&sub_region=42&type=0&report_mode=null
48,"
						Дата голосования:  01.07.2020",Кемеровская область - Кузбасс,"Новокузнецк, Заводская",65130,54762,54677,204,44378,"81,16%",10095,"18,46%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598050&vrn=100100163596966&prver=0&pronetvd=null&region=42&sub_region=42&type=0&report_mode=null
49,"
						Дата голосования:  01.07.2020",Кемеровская область - Кузбасс,"Новокузнецк, Кузнецкая",33880,29746,29715,106,25249,"84,97%",4360,"14,67%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598050&vrn=100100163596966&prver=0&pronetvd=null&region=42&sub_region=42&type=0&report_mode=null
50,"
						Дата голосования:  01.07.2020",Кемеровская область - Кузбасс,"Новокузнецк, Куйбышевская",55262,49938,49934,330,42757,"85,63%",6847,"13,71%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598050&vrn=100100163596966&prver=0&pronetvd=null&region=42&sub_region=42&type=0&report_mode=null
51,"
						Дата голосования:  01.07.2020",Кемеровская область - Кузбасс,"Новокузнецк, Новоильинская",55622,49655,49604,242,41022,"82,7%",8340,"16,81%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598050&vrn=100100163596966&prver=0&pronetvd=null&region=42&sub_region=42&type=0&report_mode=null
52,"
						Дата голосования:  01.07.2020",Кемеровская область - Кузбасс,"Новокузнецк, Орджоникидзевская",60530,53188,53127,212,45542,"85,72%",7373,"13,88%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598050&vrn=100100163596966&prver=0&pronetvd=null&region=42&sub_region=42&type=0&report_mode=null
53,"
						Дата голосования:  01.07.2020",Кемеровская область - Кузбасс,"Новокузнецк, Центральная",124912,103471,103183,896,82171,"79,64%",20116,"19,5%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598050&vrn=100100163596966&prver=0&pronetvd=null&region=42&sub_region=42&type=0&report_mode=null
54,"
						Дата голосования:  01.07.2020",Кемеровская область - Кузбасс,Новокузнецкая,35267,31424,31423,217,28117,"89,48%",3089,"9,83%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598050&vrn=100100163596966&prver=0&pronetvd=null&region=42&sub_region=42&type=0&report_mode=null
55,"
						Дата голосования:  01.07.2020",Кемеровская область - Кузбасс,Осинниковская городская,37089,32769,32738,111,29400,"89,8%",3227,"9,86%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598050&vrn=100100163596966&prver=0&pronetvd=null&region=42&sub_region=42&type=0&report_mode=null
56,"
						Дата голосования:  01.07.2020",Кемеровская область - Кузбасс,Полысаевская городская,21810,19526,19508,21,17704,"90,75%",1783,"9,14%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598050&vrn=100100163596966&prver=0&pronetvd=null&region=42&sub_region=42&type=0&report_mode=null
57,"
						Дата голосования:  01.07.2020",Кемеровская область - Кузбасс,"Прокопьевск, Зенковская",45841,41007,41005,168,37521,"91,5%",3316,"8,09%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598050&vrn=100100163596966&prver=0&pronetvd=null&region=42&sub_region=42&type=0&report_mode=null
58,"
						Дата голосования:  01.07.2020",Кемеровская область - Кузбасс,"Прокопьевск, Рудничная",48691,44085,44085,145,39615,"89,86%",4325,"9,81%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598050&vrn=100100163596966&prver=0&pronetvd=null&region=42&sub_region=42&type=0&report_mode=null
59,"
						Дата голосования:  01.07.2020",Кемеровская область - Кузбасс,"Прокопьевск, Центральная",46447,41872,41733,213,38693,"92,72%",2827,"6,77%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598050&vrn=100100163596966&prver=0&pronetvd=null&region=42&sub_region=42&type=0&report_mode=null
60,"
						Дата голосования:  01.07.2020",Кемеровская область - Кузбасс,Прокопьевская,23028,20828,20824,62,18944,"90,97%",1818,"8,73%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598050&vrn=100100163596966&prver=0&pronetvd=null&region=42&sub_region=42&type=0&report_mode=null
61,"
						Дата голосования:  01.07.2020",Кемеровская область - Кузбасс,Промышленновская,33099,31372,31372,434,30129,"96,04%",809,"2,58%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598050&vrn=100100163596966&prver=0&pronetvd=null&region=42&sub_region=42&type=0&report_mode=null
62,"
						Дата голосования:  01.07.2020",Кемеровская область - Кузбасс,Тайгинская городская,15096,12907,12907,70,11373,"88,11%",1464,"11,34%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598050&vrn=100100163596966&prver=0&pronetvd=null&region=42&sub_region=42&type=0&report_mode=null
63,"
						Дата голосования:  01.07.2020",Кемеровская область - Кузбасс,Таштагольская ,36266,33804,33777,130,30791,"91,16%",2856,"8,46%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598050&vrn=100100163596966&prver=0&pronetvd=null&region=42&sub_region=42&type=0&report_mode=null
64,"
						Дата голосования:  01.07.2020",Кемеровская область - Кузбасс,Тисульская,15946,14467,14455,56,13466,"93,16%",933,"6,45%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598050&vrn=100100163596966&prver=0&pronetvd=null&region=42&sub_region=42&type=0&report_mode=null
65,"
						Дата голосования:  01.07.2020",Кемеровская область - Кузбасс,Топкинская,34026,29460,29455,275,26015,"88,32%",3165,"10,75%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598050&vrn=100100163596966&prver=0&pronetvd=null&region=42&sub_region=42&type=0&report_mode=null
66,"
						Дата голосования:  01.07.2020",Кемеровская область - Кузбасс,Тяжинская,18470,16633,16630,65,14944,"89,86%",1621,"9,75%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598050&vrn=100100163596966&prver=0&pronetvd=null&region=42&sub_region=42&type=0&report_mode=null
67,"
						Дата голосования:  01.07.2020",Кемеровская область - Кузбасс,Чебулинская,10083,9087,9047,24,7687,"84,97%",1336,"14,77%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598050&vrn=100100163596966&prver=0&pronetvd=null&region=42&sub_region=42&type=0&report_mode=null
68,"
						Дата голосования:  01.07.2020",Кемеровская область - Кузбасс,Юргинская,14586,13261,13261,63,11711,"88,31%",1487,"11,21%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598050&vrn=100100163596966&prver=0&pronetvd=null&region=42&sub_region=42&type=0&report_mode=null
69,"
						Дата голосования:  01.07.2020",Кемеровская область - Кузбасс,Юргинская городская,60585,52076,51966,621,45865,"88,26%",5480,"10,55%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598050&vrn=100100163596966&prver=0&pronetvd=null&region=42&sub_region=42&type=0&report_mode=null
70,"
						Дата голосования:  01.07.2020",Кемеровская область - Кузбасс,Яйская,13502,12422,12422,22,11522,"92,75%",878,"7,07%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598050&vrn=100100163596966&prver=0&pronetvd=null&region=42&sub_region=42&type=0&report_mode=null
71,"
						Дата голосования:  01.07.2020",Кемеровская область - Кузбасс,Яшкинская,20357,18502,18473,333,17394,"94,16%",746,"4,04%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598050&vrn=100100163596966&prver=0&pronetvd=null&region=42&sub_region=42&type=0&report_mode=null
72,"
						Дата голосования:  01.07.2020",Магаданская область,Магаданская,68114,31649,31605,344,18834,"59,59%",12427,"39,32%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598057&vrn=100100163596966&prver=0&pronetvd=null&region=49&sub_region=49&type=0&report_mode=null
73,"
						Дата голосования:  01.07.2020",Магаданская область,Ольская,4259,3015,3015,35,1910,"63,35%",1070,"35,49%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598057&vrn=100100163596966&prver=0&pronetvd=null&region=49&sub_region=49&type=0&report_mode=null
74,"
						Дата голосования:  01.07.2020",Магаданская область,Омсукчанская,2338,1665,1664,8,1069,"64,24%",587,"35,28%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598057&vrn=100100163596966&prver=0&pronetvd=null&region=49&sub_region=49&type=0&report_mode=null
75,"
						Дата голосования:  01.07.2020",Магаданская область,Северо-Эвенская,1824,1327,1327,62,868,"65,41%",397,"29,92%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598057&vrn=100100163596966&prver=0&pronetvd=null&region=49&sub_region=49&type=0&report_mode=null
76,"
						Дата голосования:  01.07.2020",Магаданская область,Среднеканская,2165,1660,1660,24,1371,"82,59%",265,"15,96%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598057&vrn=100100163596966&prver=0&pronetvd=null&region=49&sub_region=49&type=0&report_mode=null
77,"
						Дата голосования:  01.07.2020",Магаданская область,Сусуманская,4144,3336,3336,106,2213,"66,34%",1017,"30,49%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598057&vrn=100100163596966&prver=0&pronetvd=null&region=49&sub_region=49&type=0&report_mode=null
78,"
						Дата голосования:  01.07.2020",Магаданская область,Тенькинская,4546,3425,3425,54,1812,"52,91%",1559,"45,52%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598057&vrn=100100163596966&prver=0&pronetvd=null&region=49&sub_region=49&type=0&report_mode=null
79,"
						Дата голосования:  01.07.2020",Магаданская область,Хасынская,4460,3946,3946,42,2808,"71,16%",1096,"27,77%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598057&vrn=100100163596966&prver=0&pronetvd=null&region=49&sub_region=49&type=0&report_mode=null
80,"
						Дата голосования:  01.07.2020",Магаданская область,Ягоднинская,5159,3585,3585,52,2214,"61,76%",1319,"36,79%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598057&vrn=100100163596966&prver=0&pronetvd=null&region=49&sub_region=49&type=0&report_mode=null
81,"
						Дата голосования:  01.07.2020",Магаданская область,Арманская,1624,1303,1303,14,936,"71,83%",353,"27,09%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598057&vrn=100100163596966&prver=0&pronetvd=null&region=49&sub_region=49&type=0&report_mode=null
82,"
						Дата голосования:  01.07.2020",Волгоградская область,Алексеевская,11930,9940,9940,70,8466,"85,17%",1404,"14,12%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598043&vrn=100100163596966&prver=0&pronetvd=null&region=34&sub_region=34&type=0&report_mode=null
83,"
						Дата голосования:  01.07.2020",Волгоградская область,Быковская,19138,15596,15596,115,13196,"84,61%",2285,"14,65%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598043&vrn=100100163596966&prver=0&pronetvd=null&region=34&sub_region=34&type=0&report_mode=null
84,"
						Дата голосования:  01.07.2020",Волгоградская область,"Волгоград, Ворошиловская",56482,47450,47450,875,40523,"85,4%",6052,"12,75%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598043&vrn=100100163596966&prver=0&pronetvd=null&region=34&sub_region=34&type=0&report_mode=null
85,"
						Дата голосования:  01.07.2020",Волгоградская область,"Волгоград, Дзержинская",132408,111999,111980,395,97030,"86,65%",14555,"12,99%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598043&vrn=100100163596966&prver=0&pronetvd=null&region=34&sub_region=34&type=0&report_mode=null
86,"
						Дата голосования:  01.07.2020",Волгоградская область,"Волгоград, Кировская",68884,56674,56674,272,47514,"83,84%",8888,"15,68%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598043&vrn=100100163596966&prver=0&pronetvd=null&region=34&sub_region=34&type=0&report_mode=null
87,"
						Дата голосования:  01.07.2020",Волгоградская область,"Волгоград, Красноармейская",119661,101088,101087,566,86279,"85,35%",14242,"14,09%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598043&vrn=100100163596966&prver=0&pronetvd=null&region=34&sub_region=34&type=0&report_mode=null
